'S002',21,151,19,0.890052356,13138
'S005',2,8,3,0.846153846,30
'S007',1,5,9,0.933333333,41
'S012',4,16,12,0.875,85
'S014',1,10,9,0.95,44
'S015',12,8,13,0.636363636,72
'S016',36,85,12,0.729323308,1631
'S017',10,85,31,0.920634921,375
'S021',5,13,12,0.833333333,71
'S022',1,5,11,0.941176471,30
'S026',7,3,4,0.5,30
'S027',12,116,29,0.923566879,50686
'S030',5,24,16,0.888888889,385
'S035',8,13,7,0.714285714,71
'S038',1,7,6,0.928571429,30
'S042',13,0,34,0.723404255,47
'S043',1,9,0,0.9,86
'S046',5,17,8,0.833333333,84
'S049',5,6,10,0.761904762,30
'S051',2,53,114,0.98816568,233
'S052',5,6,5,0.6875,42
'S053',0,11,15,1,46
'S056',39,113,19,0.771929825,13051
'S062',13,117,67,0.934010152,376
'S064',30,193,17,0.875,19237
'S065',3,13,2,0.833333333,70
'S066',3,6,14,0.869565217,46
'S071',30,155,21,0.854368932,17949
'S072',2,16,11,0.931034483,145
'S075',3,7,14,0.875,41
'S078',7,5,4,0.5625,42
'S082',2,4,12,0.888888889,30
'S083',6,17,6,0.793103448,69
'S087',19,90,19,0.8515625,426
'S089',7,87,32,0.944444444,385
'S091',7,75,9,0.923076923,47540
'S093',34,116,42,0.822916667,1525
'S096',3,17,6,0.884615385,71
'S097',0,4,1,1,87
'S099',1,9,9,0.947368421,42
'S101',2,57,13,0.972222222,251
'S102',11,206,23,0.954166667,194498
'S104',5,7,8,0.75,45
'S106',6,6,8,0.7,47
'S109',5,5,4,0.642857143,28
'S114',5,12,5,0.772727273,72
'S115',4,15,10,0.862068966,72
'S116',2,11,3,0.875,372
'S119',3,10,8,0.857142857,47
'S121',1,18,8,0.962962963,153
'S122',3,6,6,0.8,28
'S123',18,80,24,0.852459016,377
'S127',4,6,6,0.75,30
'S128',13,205,22,0.945833333,101365
'S130',0,9,5,1,31
'S132',7,23,14,0.840909091,154
'S143',26,74,18,0.779661017,15694
'S144',4,4,2,0.6,31
'S145',4,66,93,0.975460123,246
'S148',17,199,24,0.929166667,15483
'S150',4,15,9,0.857142857,70
'S152',3,6,8,0.823529412,28
'S154',2,11,2,0.866666667,151
'S155',5,7,4,0.6875,31
'S156',17,0,28,0.622222222,45
'S157',1,6,9,0.9375,28
'S158',2,102,41,0.986206897,430
'S159',3,6,2,0.727272727,28
'S163',31,183,26,0.870833333,16406
'S165',21,45,86,0.861842105,386
'S167',5,8,5,0.722222222,44
'S170',13,208,19,0.945833333,56698
'S178',5,7,12,0.791666667,48
'S181',1,47,20,0.985294118,223
'S184',3,8,2,0.769230769,31
'S185',3,4,6,0.769230769,28
'S187',12,98,22,0.909090909,427
'S189',14,5,43,0.774193548,82
'S195',15,208,17,0.9375,129786
'S196',3,10,45,0.948275862,92
'S198',5,30,14,0.897959184,247
'S201',4,6,6,0.75,30
'S203',2,19,15,0.944444444,89
'S204',0,218,22,1,46597
'S205',1,5,13,0.947368421,31
'S208',29,191,20,0.879166667,18842
'S209',2,8,4,0.857142857,31
'S211',1,15,15,0.967741935,89
'S217',1,8,7,0.9375,28
'S219',11,205,24,0.954166667,126096
'S221',6,23,9,0.842105263,384
'S226',52,170,13,0.778723404,1670
'S227',6,7,7,0.7,42
'S229',5,14,10,0.827586207,73
'S237',9,9,12,0.7,82
'S242',12,5,33,0.76,70
'S243',5,5,0,0.5,148
'S250',2,0,42,0.954545455,44
'S251',0,31,8,1,224
'S254',3,6,2,0.727272727,28
'S255',1,8,5,0.928571429,87
'S265',4,16,8,0.857142857,82
'S266',3,9,11,0.869565217,42
'S269',0,7,30,1,44
'S273',0,4,3,1,31
'S274',12,203,25,0.95,130307
'S275',3,32,19,0.944444444,220
'S278',2,16,15,0.939393939,86
'S281',29,182,29,0.879166667,328080
'S282',0,12,57,1,91
'S283',12,204,24,0.95,41631
'S285',2,7,4,0.846153846,86
'S288',4,14,8,0.846153846,146
'S289',1,187,52,0.995833333,49224
'S291',3,15,13,0.903225806,71
'S292',0,21,15,1,249
'S293',2,15,8,0.92,85
'S295',1,6,8,0.933333333,28
'S296',2,16,9,0.925925926,147
'S299',4,9,6,0.789473684,89
'S300',7,14,10,0.774193548,70
'S302',2,6,8,0.875,41
